univ_name;alias;address;sinta_id;pddikti_code;author_number;dept_number;journal_number;sinta_score_overall;sinta_score_3yr;sinta_score_productivity;sinta_score_productivity_3yr;scopus_docs;scopus_citation;scopus_cited_doc;scopus_citation_per_researchers;gscholar_docs;gscholar_citation;gscholar_cited_doc;gscholar_citation_per_researchers;wos_docs;wos_citation;wos_cited_doc;wos_citation_per_researchers;garuda_docs;garuda_citation;garuda_cited_doc;garuda_citation_per_researchers
STAI Al-Qudwah Depok;-;KOTA DEPOK - JAWA BARAT, ID;4011;213493;0;2;0;77;77;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAI YPIQ Baubau, Sulawesi Tenggara;-;KOTA BAU BAU - SULAWESI TENGGARA, ID;3908;213355;0;3;0;77;77;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Teologi Blessing Indonesia Makassar;-;KOTA MAKASSAR - SULAWESI SELATAN, ID;4253;233297;1;4;0;74;73;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Kesehatan Ceria Buana;-;KAB. AGAM - SUMATERA BARAT, ID;2971;103064;1;3;0;127;73;11;6;0;0;0;0;2;18;1;1,06;0;0;0;0;0;0;0;0
STAI Sayid Sabiq Indramayu;-;KAB. INDRAMAYU - JAWA BARAT, ID;3706;213130;0;2;0;73;73;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SEKOLAH TINGGI ILMU EKONOMI ABDI NUSA PALEMBANG;STIE ABDI NUSA PALEMBANG;KOTA PALEMBANG - SUMATERA SELATAN, ID;913;23068;10;2;0;83;73;7;6;0;0;0;0;20;43;4;2,26;0;0;0;0;0;0;0;0
Sekolah Tinggi Teologi Kibaid Makale;-;KAB. TANA TORAJA - SULAWESI SELATAN, ID;4207;233226;10;4;0;77;73;4;4;0;0;0;0;10;35;5;1,4;0;0;0;0;0;0;0;0
Akademi Maritim Pembangunan Jakarta;-;KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID;1296;34121;0;3;0;73;73;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STT Anugerah Sinagoge Medan;STTASM;KOTA MEDAN - SUMATERA UTARA, ID;4262;233314;6;3;0;78;73;6;6;0;0;0;0;26;26;13;1,3;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Kehutanan Teungku Chik Pante Kulu;STIK TEUNGKU CHIK PANTE KULU;KOTA BANDA ACEH - ACEH, ID;3849;213285;1;3;0;97;74;3;3;0;0;0;0;10;181;4;6,03;0;0;0;0;0;0;0;0
Politeknik Santo Thomas;-;KOTA MEDAN - SUMATERA UTARA, ID;825;15011;6;4;0;1994;73;125;5;1;0;0;0;47;56;12;2,43;0;0;0;0;0;0;0;0
Sekolah Tinggi Ilmu Syariah Al-Aziziyah Sabang;STIS AL-AZIZIYAH SABANG;KOTA SABANG - ACEH, ID;4035;213525;8;2;0;126;74;10;6;0;0;0;0;71;745;27;49,67;0;0;0;0;3;0;0;0
